Datetime,Capacity Factor
01/01/2021 00:00,0
01/01/2021 01:00,0
01/01/2021 02:00,0
01/01/2021 03:00,0
01/01/2021 04:00,0
01/01/2021 05:00,0
01/01/2021 06:00,0
01/01/2021 07:00,0.015
01/01/2021 08:00,0.137
01/01/2021 09:00,0.186
01/01/2021 10:00,0.317
01/01/2021 11:00,0.458
01/01/2021 12:00,0.321
01/01/2021 13:00,0.296
01/01/2021 14:00,0.27
01/01/2021 15:00,0.204
01/01/2021 16:00,0.043
01/01/2021 17:00,0
01/01/2021 18:00,0
01/01/2021 19:00,0
01/01/2021 20:00,0
01/01/2021 21:00,0
01/01/2021 22:00,0
01/01/2021 23:00,0
02/01/2021 00:00,0
02/01/2021 01:00,0
02/01/2021 02:00,0
02/01/2021 03:00,0
02/01/2021 04:00,0
02/01/2021 05:00,0
02/01/2021 06:00,0
02/01/2021 07:00,0
02/01/2021 08:00,0.053
02/01/2021 09:00,0.212
02/01/2021 10:00,0.519
02/01/2021 11:00,0.507
02/01/2021 12:00,0.462
02/01/2021 13:00,0.348
02/01/2021 14:00,0.311
02/01/2021 15:00,0.237
02/01/2021 16:00,0.053
02/01/2021 17:00,0
02/01/2021 18:00,0
02/01/2021 19:00,0
02/01/2021 20:00,0
02/01/2021 21:00,0
02/01/2021 22:00,0
02/01/2021 23:00,0
03/01/2021 00:00,0
03/01/2021 01:00,0
03/01/2021 02:00,0
03/01/2021 03:00,0
03/01/2021 04:00,0
03/01/2021 05:00,0
03/01/2021 06:00,0
03/01/2021 07:00,0.001
03/01/2021 08:00,0.114
03/01/2021 09:00,0.386
03/01/2021 10:00,0.223
03/01/2021 11:00,0.139
03/01/2021 12:00,0.05
03/01/2021 13:00,0.232
03/01/2021 14:00,0.408
03/01/2021 15:00,0.139
03/01/2021 16:00,0.013
03/01/2021 17:00,0
03/01/2021 18:00,0
03/01/2021 19:00,0
03/01/2021 20:00,0
03/01/2021 21:00,0
03/01/2021 22:00,0
03/01/2021 23:00,0
