Datetime,Capacity Factor
2021-01-01 00:00:00,0.2915
2021-01-01 01:00:00,0.249
2021-01-01 02:00:00,0.1911
2021-01-01 03:00:00,0.1487
2021-01-01 04:00:00,0.115
2021-01-01 05:00:00,0.0895
2021-01-01 06:00:00,0.0647
2021-01-01 07:00:00,0.0461
2021-01-01 08:00:00,0.0281
2021-01-01 09:00:00,0.0169
2021-01-01 10:00:00,0.0052
2021-01-01 11:00:00,0.0009
2021-01-01 12:00:00,0.0001
2021-01-01 13:00:00,0.0002
2021-01-01 14:00:00,0.0007
2021-01-01 15:00:00,0.0014
2021-01-01 16:00:00,0.0044
2021-01-01 17:00:00,0.0152
2021-01-01 18:00:00,0.0322
2021-01-01 19:00:00,0.0487
2021-01-01 20:00:00,0.0615
2021-01-01 21:00:00,0.0751
2021-01-01 22:00:00,0.0882
2021-01-01 23:00:00,0.105
2021-01-02 00:00:00,0.1265
2021-01-02 01:00:00,0.1514
2021-01-02 02:00:00,0.18
2021-01-02 03:00:00,0.2188
2021-01-02 04:00:00,0.2799
2021-01-02 05:00:00,0.3337
2021-01-02 06:00:00,0.401
2021-01-02 07:00:00,0.5019
2021-01-02 08:00:00,0.5928
2021-01-02 09:00:00,0.6164
2021-01-02 10:00:00,0.6038
2021-01-02 11:00:00,0.6066
2021-01-02 12:00:00,0.6346
2021-01-02 13:00:00,0.6182
2021-01-02 14:00:00,0.5811
2021-01-02 15:00:00,0.5579
2021-01-02 16:00:00,0.5486
2021-01-02 17:00:00,0.5592
2021-01-02 18:00:00,0.5642
2021-01-02 19:00:00,0.5359
2021-01-02 20:00:00,0.4772
2021-01-02 21:00:00,0.4039
2021-01-02 22:00:00,0.3649
2021-01-02 23:00:00,0.3372
2021-01-03 00:00:00,0.339
2021-01-03 01:00:00,0.3195
2021-01-03 02:00:00,0.291
2021-01-03 03:00:00,0.2713
2021-01-03 04:00:00,0.2592
2021-01-03 05:00:00,0.2279
2021-01-03 06:00:00,0.1901
2021-01-03 07:00:00,0.1823
2021-01-03 08:00:00,0.2034
2021-01-03 09:00:00,0.2266
2021-01-03 10:00:00,0.2535
2021-01-03 11:00:00,0.2834
2021-01-03 12:00:00,0.3201
2021-01-03 13:00:00,0.3837
2021-01-03 14:00:00,0.4722
2021-01-03 15:00:00,0.5881
2021-01-03 16:00:00,0.7153
2021-01-03 17:00:00,0.7995
2021-01-03 18:00:00,0.8206
2021-01-03 19:00:00,0.8304
2021-01-03 20:00:00,0.8376
2021-01-03 21:00:00,0.8218
2021-01-03 22:00:00,0.8056
2021-01-03 23:00:00,0.7906
2021-01-04 00:00:00,0.7843
2021-01-04 01:00:00,0.7823
2021-01-04 02:00:00,0.7755
2021-01-04 03:00:00,0.7614
2021-01-04 04:00:00,0.7463
2021-01-04 05:00:00,0.7132
2021-01-04 06:00:00,0.6848
2021-01-04 07:00:00,0.6581
2021-01-04 08:00:00,0.6218
2021-01-04 09:00:00,0.5819
2021-01-04 10:00:00,0.5191
2021-01-04 11:00:00,0.3823
2021-01-04 12:00:00,0.2461
2021-01-04 13:00:00,0.1268
2021-01-04 14:00:00,0.0546
2021-01-04 15:00:00,0.0253
2021-01-04 16:00:00,0.0128
2021-01-04 17:00:00,0.0048
2021-01-04 18:00:00,0.0025
2021-01-04 19:00:00,0.0023
2021-01-04 20:00:00,0.0032
2021-01-04 21:00:00,0.0031
2021-01-04 22:00:00,0.0033
2021-01-04 23:00:00,0.0067
2021-01-05 00:00:00,0.0171
2021-01-05 01:00:00,0.0361
2021-01-05 02:00:00,0.061
2021-01-05 03:00:00,0.0923
