techs,Electricity_demand,Electricity_demand,Electricity_demand,Electricity_demand,Electricity_demand,Electricity_demand,Electricity_demand,Electricity_demand
nodes,R1,R2,R3,R4,R5,R6,C1,C2
2021-01-01 00:00:00,4.688,5.547974796,3.75016141,4.757885178,6.444994588,5.997943408,2.976,3.408997437
2021-01-01 01:00:00,4.24,4.729725675,3.355774743,3.31647162,4.782782857,5.408656407,2.914,2.496337622
2021-01-01 02:00:00,3.332,3.933847212,2.658445402,3.371731874,3.757900941,4.392334489,2.634,2.850963331
2021-01-01 03:00:00,2.822,3.337666145,2.24888588,2.749299067,3.151426952,3.599555537,2.716,2.992537113
2021-01-01 04:00:00,2.638,3.11397033,2.215824465,2.669167805,2.976208061,3.364514985,2.704,2.994877903
2021-01-01 05:00:00,3.077,3.630305794,2.453892727,2.295683127,3.089826858,4.28625987,2.682,3.022119336
2021-01-01 06:00:00,3.135,4.82345879,2.502839371,3.171898827,3.53533116,3.999386953,2.974,2.086
2021-01-01 07:00:00,3.643,4.297989679,2.905325044,3.684722111,4.177181649,4.647280781,3.471,4.7679
2021-01-01 08:00:00,4.477,4.595324129,3.570399163,4.529859332,5.941773636,5.710218419,3.234,2.086
2021-01-01 09:00:00,5.37,6.335480634,4.29912109,5.435200137,5.888238022,6.71536355,3.14,3.320167886
2021-01-01 10:00:00,6.386,7.534680306,5.132319194,6.461682965,7.209714569,8.144025148,3.264,3.336507471
2021-01-01 11:00:00,7.323,8.640329857,5.946098865,7.409888116,8.25894547,9.340772819,3.072,3.352726973
2021-01-01 12:00:00,6.793,8.038732089,5.417611952,6.87350444,8.118979655,8.196586731,2.764,3.767514883
2021-01-01 13:00:00,7.32,8.297162599,5.83803993,7.340857356,8.761609475,8.953377631,2.657,2.953896449
2021-01-01 14:00:00,5.82,6.86779397,4.643106033,5.88991197,6.564799926,7.223852588,2.706,3.742410829
2021-01-01 15:00:00,5.662,6.681258332,4.515295481,5.728867018,6.377722341,7.219792635,2.887,3.128769782
